Blanton Museum of Art
Harry Ransom Center
LBJ Library & Museum
Flawn Academic Center
Art Building and Museum
Gates Dell Complex
Christian-Green Gallery
Fine Arts Library
Darrell K Royal Texas Memorial Stadium
Gregory Gym
Texas Memorial Museum
UT Tower
Littlefield Fountain
Turtle Pond
The Drag
Norman Hackerman Building
WCP Student Activity Center
LBJ Library & Museum
Texas State Capitol
Mt. Bonnell & Mayfield Park
Barton Springs
Zilker Park
Lake Austin
Lady Bird Johnson Wildflower Center
Zilker Botanical Garden
Congress Avenue Bridge
South Congress (SoCo)
